21916	
	(-0.08577893519,0)	(0.02133984745,0)	(0,-0.07904477932)	(0.3507130094,0)	(-0.09433929869,0)
	(0.0208908844,0)	(0,-0.08407810496)	(-0.09573256037,0)	(0.01101914773,0)	(0,-0.08864135395)
	(-0.101257459,0)	(0.0139155828,0)	(0,-0.08975723943)	(-0.09714225865,0)	(0.01309503431,0)
	(0,-0.08535943423)	(0.3340676062,0)	(-0.09978106559,0)	(0.01627003063,0)	(0,-0.08641218583)
	(-0.09399276829,0)	(0.0253183108,0)	(0,-0.0881666253)	(-0.08390570849,0)	(0.03017996715,0)
	(0,-0.09240263485)	(0.3525387993,0)	(-0.06702818592,0)	(0.03223473829,0)	(0,-0.09843791694)
	(-0.08588204507,0)	(0.03352152797,0)	(0,-0.09989541008)	(-0.09900240873,0)	(0.02735210017,0)
	(0,-0.09291765912)	(-0.06841501752,0)	(0.005833219242,0)	(0,-0.08274988614)	(-0.07706786162,0)
	(0.007086251302,0)	(0,-0.08660294315)	(-0.07869556876,0)	(0.007084401548,0)	(0,-0.0861680465)
	(-0.08354622438,0)	(0.007964647281,0)	(0,-0.08854604826)	(-0.07959670998,0)	(0.007099510797,0)
	(0,-0.08295776136)	(0.3061154871,0)	(-0.07438295428,0)	(0.006144440663,0)	(0,-0.08020745428)
	(-0.08684740553,0)	(0.008647670505,0)	(0,-0.08742633249)	(-0.06933026997,0)	(0.005262333656,0)
	(0,-0.0774726582)	(0.2986329453,0)	(-0.06728853619,0)	(0.005521574205,0)	(0,-0.08031463688)
	(0.290039368,0)	(-0.06837153929,0)	(0.005364435627,0)	(0,-0.07915215773)	(-0.09835164731,0)
	(0.01164125619,0)	(0,-0.09571869824)	(-0.09003556085,0)	(0.009413455684,0)	(0,-0.09213827172)
	(-0.09416762904,0)	(0.01048564837,0)	(0,-0.09164225119)	(0.3134590121,0)	(-0.0993015888,0)
	(0.01196997238,0)	(0,-0.0923849566)	(1.585571154e-034,0)	(-3.100117924e-033,0)	(0,3.464185634e-034)
	(5.313613005e-035,0)	(-7.031208572e-034,0)	(0,-2.928453292e-034)	(0.0007392308463,0)	(-0.003469256341,0)
	(-0.003644558192,0)	(0,-0.005606316026)	(-0.004901922054,0)	(-0.005164968097,0)	(0,-0.009287382957)
	(0.01024498278,0)	(-0.02673604304,0)	(-0.005401978858,0)	(0,-0.01608617038)	(-0.008256845144,0)
	(-0.0007419432074,0)	(0,-0.01029449375)	(-0.02785485729,0)	(-0.03246687806,0)	(0,-0.02129541185)
	(-0.04627298764,0)	(-0.001295757129,0)	(0,-0.05966940944)	(-0.07762819451,0)	(0.007419497163,0)
	(0,-0.0878893694)	(-0.04330408097,0)	(0.0002627320006,0)	(0,-0.06464816702)	(0.2722581804,0)
	(-0.04577409927,0)	(0.002605707099,0)	(0,-0.06463664517)	(0.2821327466,0)	(-0.05859532422,0)
	(0.001086655642,0)	(0,-0.06829139627)	(-0.05781046799,0)	(0.001763448956,0)	(0,-0.07321069785)
	(-0.05808456781,0)	(0.004294038943,0)	(0,-0.07635476984)	(-0.06906934541,0)	(0.004986031208,0)
	(0,-0.082788319)	(-0.07745869187,0)	(0.007151590583,0)	(0,-0.08767303838)	(-0.04497064546,0)
	(0.002616092289,0)	(0,-0.06688482489)	(-0.0692181523,0)	(0.005873388185,0)	(0,-0.0840147472)
	(0.2816894923,0)	(-0.05878475886,0)	(0.003984393941,0)	(0,-0.07758122555)	(-0.06731591627,0)
	(-0.002798227287,0)	(0,-0.04595747725)	(0.2864719796,0)	(-0.08398347403,0)	(-0.003715440515,0)
	(0,-0.04869803677)	(-0.06926130964,0)	(-0.0007024627741,0)	(0,-0.05716889992)	(-0.06658122877,0)
	(-0.02343353074,0)	(0,-0.03532933979)	(-0.05881047676,0)	(-0.03260890319,0)	(0,-0.03320862086)
	(-0.03703473817,0)	(-0.03550000316,0)	(0,-0.02746491684)	(0.07713250572,0)	(-0.05955686249,0)
	(-0.07224548704,0)	(0,-0.03092130906)	(-0.0430289312,0)	(-0.02339850669,0)	(0,-0.02781569118)
	(-0.08054449815,0)	(-0.01860922421,0)	(0,-0.04023252906)	(-0.05938847662,0)	(-0.05445455296,0)
	(0,-0.02660518786)	(0.3019377512,0)	(-0.09041972688,0)	(-0.03705442603,0)	(0,-0.03788075348)
	(-0.04220393484,0)	(0.03005870245,0)	(0,-0.1094582072)	(-0.06996964172,0)	(0.03538301048,0)
	(0,-0.1080917767)	(-0.04900406153,0)	(0.03516096715,0)	(0,-0.122760715)	(-0.05173011894,0)
	(0.03292941623,0)	(0,-0.1112681787)	(0.3529823016,0)	(-0.04012417666,0)	(0.03234993766,0)
	(0,-0.1221925697)	(-0.0252045898,0)	(0.02166040764,0)	(0,-0.09422162099)	(-0.009515742643,0)
	(0.01036537437,0)	(0,-0.06179041138)	(-0.01697373304,0)	(0.01607135342,0)	(0,-0.07868319165)
	(0.3590223955,0)	(-0.0164187589,0)	(0.01712721491,0)	(0,-0.09206417474)	(-0.009274504115,0)
	(0.01173891307,0)	(0,-0.08345807111)	(-0.02488065337,0)	(0.02554340957,0)	(0,-0.1168196203)
	(-0.03301574571,0)	(0.02680243638,0)	(0,-0.1074315954)	(0.3541733474,0)	(-0.02348111628,0)
	(0.02294086341,0)	(0,-0.106684328)	(-0.001497272767,0)	(0.002528227406,0)	(0,-0.02236897381)
	(-0.003478937136,0)	(0.004648467492,0)	(0,-0.04207753052)	(0.3699219037,0)	(-0.004377620073,0)
	(0.006120323012,0)	(0,-0.06598776578)	(-0.001180204049,0)	(0.001521585383,0)	(0,-0.04773503627)
	(1.133447099e-033,0)	(2.106383152e-035,0)	(0,1.232625403e-034)	(-0.0003105569296,0)	(-0.000313565554,0)
	(0,-0.02771635182)	(4.458803529e-034,0)	(-9.037698614e-036,0)	(0,5.104372551e-035)	(0.3910467774,0)
	(-0.1093949178,0)	(0.018370523,0)	(0,-0.09522616456)	(-0.1016618243,0)	(0.02056538432,0)
	(0,-0.08893896851)	(0.3442224949,0)	(-0.1048409516,0)	(0.0146725768,0)	(0,-0.0936071758)
	(0.3294846313,0)	(-0.1034208901,0)	(0.01314376697,0)	(0,-0.09678310545)	(-0.1095816614,0)
	(0.01624022571,0)	(0,-0.09762202699)	(-0.1040515675,0)	(0.01661808854,0)	(0,-0.09052907308)
	(-0.106112723,0)	(0.02264817767,0)	(0,-0.0931139554)	(-0.1007910094,0)	(0.03077654795,0)
	(0,-0.09818394959)	(-0.1131376991,0)	(0.02031830953,0)	(0,-0.09832044892)	(-0.1102126283,0)
	(0.02467117422,0)	(0,-0.09692350406)	(0.3444972377,0)	(-0.1161204366,0)	(0.02736799875,0)
	(0,-0.1020319405)	(-0.06640578361,0)	(0.03742747079,0)	(0,-0.1171387647)	(-0.08060484209,0)
	(0.04226999374,0)	(0,-0.1243091775)	(-0.08796126616,0)	(0.03678890733,0)	(0,-0.107201184)
	(0.3504583151,0)	(-0.1081487314,0)	(0.03317912468,0)	(0,-0.1036529093)	(-0.1039510099,0)
	(0.04089104292,0)	(0,-0.1151602964)	(-0.08597117785,0)	(0.009031308093,0)	(0,-0.09166401287)
	(-0.08661475076,0)	(0.00899506946,0)	(0,-0.09185841986)	(0.2970030225,0)	(-0.09262533553,0)
	(0.01027979584,0)	(0,-0.09469751653)	(-0.09402320348,0)	(0.01053390648,0)	(0,-0.09513246192)
	(-0.09960072293,0)	(0.01178882895,0)	(0,-0.09774910585)	(-0.1068133748,0)	(0.01440197778,0)
	(0,-0.1009773467)	(-0.1018220259,0)	(0.01283482669,0)	(0,-0.09851375791)	(0.3092591565,0)
	(-0.1075723485,0)	(0.01463582819,0)	(0,-0.09967863795)	(-0.05141677745,0)	(-0.02285850521,0)
	(0,-0.03082717215)	(2.675566473e-034,0)	(-1.858346459e-033,0)	(0,1.50446101e-034)	(0.007669602336,0)
	(-0.02433581976,0)	(-0.006524302365,0)	(0,-0.01060161031)	(1.126336241e-033,0)	(-6.261107238e-033,0)
	(0,4.00573627e-034)	(-0.04009378511,0)	(-0.004644474803,0)	(0,-0.01962609593)	(-0.05591052887,0)
	(-0.001826963093,0)	(0,-0.0271660048)	(-0.04089394611,0)	(-0.003314419379,0)	(0,-0.02022787836)
	(0.05804562104,0)	(-0.06365198807,0)	(-0.01208294939,0)	(0,-0.03679812383)	(-0.08572099267,0)
	(-0.00107369313,0)	(0,-0.06990173187)	(-0.07270396233,0)	(0.00148698949,0)	(0,-0.07364996479)
	(-0.08914523136,0)	(-0.0009225819331,0)	(0,-0.05818074027)	(-0.07767830273,0)	(-1.095898384e-005,0)
	(0,-0.06599165514)	(0.2685997093,0)	(-0.09167163612,0)	(0.009703314005,0)	(0,-0.0928387325)
	(-0.07669885101,0)	(0.006027696193,0)	(0,-0.08503989692)	(-0.08101289778,0)	(0.002293323646,0)
	(0,-0.0778850856)	(-0.08901819095,0)	(0.009017896657,0)	(0,-0.08851480342)	(-0.08538892012,0)
	(0.008407369602,0)	(0,-0.08980367919)	(0.2816261786,0)	(-0.08165479592,0)	(0.006133663298,0)
	(0,-0.08374653851)	(-0.07092481832,0)	(0.004031013326,0)	(0,-0.07996823566)	(0.2771027649,0)
	(-0.09615854401,0)	(-0.002784352481,0)	(0,-0.06212848677)	(-0.1131922818,0)	(0.0004929625831,0)
	(0,-0.05636285173)	(-0.1004351967,0)	(-2.560768462e-005,0)	(0,-0.05079039811)	(0.2747011779,0)
	(-0.0779781458,0)	(-0.02315927786,0)	(0,-0.04388164365)	(-0.07282939733,0)	(-0.0341621343,0)
	(0,-0.03854167304)	(0.1640395736,0)	(-0.09776226689,0)	(-0.01373837198,0)	(0,-0.04307603749)
	(-0.1024344594,0)	(-0.01060433329,0)	(0,-0.04830323157)	(-0.06041336625,0)	(0.04375885219,0)
	(0,-0.1412954734)	(-0.03335382146,0)	(0.04324396084,0)	(0,-0.1656495996)	(-0.04531670726,0)
	(0.04950767176,0)	(0,-0.1701228196)	(-0.03239087391,0)	(0.03839666611,0)	(0,-0.1533386343)
	(-0.03135503443,0)	(0.03180724075,0)	(0,-0.1323475841)	(-0.04653280689,0)	(0.03783966877,0)
	(0,-0.1349977459)	(0.3497261586,0)	(-0.02960843414,0)	(0.03428282193,0)	(0,-0.1438405776)
	(-0.00243534902,0)	(0.00443702018,0)	(0,-0.07315674538)	(-0.01832944267,0)	(0.02494354762,0)
	(0,-0.1277263079)	(0.3520570921,0)	(-0.0155708197,0)	(0.01891250632,0)	(0,-0.1057877741)
	(0.3554037993,0)	(-0.01738938042,0)	(0.02785433979,0)	(0,-0.1404988367)	(-0.006059396554,0)
	(0.02465059687,0)	(0,-0.147620307)	(-0.005008000296,0)	(0.009152033785,0)	(0,-0.08982772957)
	(0.3542615825,0)	(0.001365707043,0)	(0.01449680204,0)	(0,-0.1221022393)	(-0.009570126416,0)
	(0.01384700238,0)	(0,-0.09847628527)	(-0.002230922294,0)	(0.01707072243,0)	(0,-0.1286485638)
