18332	
	(-0.007894086522,0.0007460008587)	(-0.07538762916,-0.006127772049)	(-0.01109712041,0.001179934883)	(-0.07728826031,-0.005836784903)	(-3.27809926e-033,-1.5088777e-033)
	(-0.08081864688,-0.007435665025)	(-0.003224882486,0.0003022589641)	(-0.07623599131,-0.006714673351)	(-6.204755468e-033,-1.422704153e-033)	(-0.07018178881,-0.006032300244)
	(-1.178387619e-005,5.71288822e-006)	(-0.01633711191,0.001959853369)	(-0.04174063375,0.002718265596)	(-0.01815278573,0.002588723098)	(-0.04318792448,0.00366288469)
	(-0.01525535383,0.001953993059)	(-0.03639570347,0.003015116301)	(-0.01476166853,0.001711954363)	(-0.03702561985,0.002583044887)	(0.05169760779,-0.001732457659)
	(-0.01581601489,0.002229347735)	(-0.03596866234,0.003471824362)	(0.05993609553,-0.001679161318)	(-0.01961713122,0.003406087291)	(-0.04216192961,0.004914023484)
	(-0.01882938181,0.00293729198)	(-0.04275697151,0.004224281521)	(-0.01607527512,0.00246951199)	(-0.0348194942,0.003854480444)	(-0.01954870285,0.002866104772)
	(-0.04740965541,0.003793030499)	(-0.0192829482,0.002523539718)	(-0.05100353178,0.002864956624)	(-0.01774206794,0.002204246199)	(-0.04616311768,0.002791784087)
	(0.04985205909,-0.002155366516)	(-0.02099546298,0.003191367158)	(-0.05200176577,0.003883725871)	(-0.01709974332,0.001680618178)	(-0.05521836623,0.0005587812368)
	(-0.0198407419,0.002459465797)	(-0.05825904177,0.001704827899)	(-0.01630773528,0.001546284014)	(-0.05101094961,0.0009089125526)	(0.03822486233,-0.002104963503)
	(-0.01840357202,0.002117899136)	(-0.05318441378,0.001815948282)	(-0.02233687762,0.003550428005)	(-0.05630773913,0.003955161769)	(-0.02203741642,0.003235184045)
	(-0.0602807741,0.002822293632)	(-0.02064062282,0.002845975325)	(-0.05547140352,0.00287412208)	(0.04874251586,-0.002593113023)	(-0.02374945742,0.003994604458)
	(-0.06101777749,0.003983737436)	(-0.0195967827,0.002442727205)	(-0.07187546739,-0.001576766719)	(-0.01791376819,0.001857201306)	(-0.06234724825,-0.0004322879748)
	(-0.0212984161,0.002908063972)	(-0.07129408176,-0.0003794899414)	(-0.02141647999,0.002910523702)	(-0.06876594767,0.0003369394599)	(-0.0204473363,0.002599056182)
	(-0.06188186887,0.001307214766)	(-0.01774641333,0.001810915622)	(-0.05913065909,0.0001441197808)	(0.03534980171,-0.002230159932)	(-0.02139500222,0.002895232366)
	(-0.06605626748,0.0009891206601)	(-0.01796366335,0.001901679804)	(-0.06537570456,-0.001054462497)	(0.0313936542,-0.002176841786)	(-3.511609291e-034,-2.309210796e-035)
	(4.534953336e-034,-3.325125989e-035)	(0.1027633858,0.0003819382364)	(-6.671779665e-034,-4.047945679e-035)	(8.812791328e-034,-6.28724704e-035)	(-0.004713592037,0.001063685468)
	(-0.007390310067,0.001604724509)	(-7.461090903e-034,-5.047382712e-035)	(9.398069344e-034,-7.157171794e-035)	(-0.006051025421,0.001133758489)	(-0.01055356456,0.001855571136)
	(-6.109517083e-034,-3.406557064e-035)	(7.75596485e-034,-5.458440944e-035)	(-3.094155635e-034,-2.09505793e-035)	(4.27983417e-034,-3.218351279e-035)	(0.09286373206,0.0002029675482)
	(-0.004627271719,0.0009753273423)	(-0.007424811014,0.001505865846)	(-2.867357404e-034,-1.557525665e-035)	(3.750507654e-034,-2.536255784e-035)	(0.08192223736,0.0003512216464)
	(-0.005431511567,0.0009222292944)	(-0.009889007135,0.001581936419)	(-0.006439847388,0.001297023967)	(-0.01075435068,0.002038741362)	(-0.01589479126,0.003027536607)
	(-0.03026593749,0.004628875079)	(-0.01040796889,0.001942361904)	(-0.01881730404,0.003117415323)	(0.08393872373,-0.0006332111063)	(-0.01233066509,0.002117930581)
	(-0.02377093572,0.003437319111)	(0.07580606355,-0.0009290187349)	(-0.01628265245,0.003376494089)	(-0.02971738756,0.005030325638)	(-0.01139386906,0.002037058774)
	(-0.02123349074,0.003289402847)	(-0.01558509768,0.00337001805)	(-0.0275869217,0.004984757312)	(-0.01114698491,0.002288245779)	(-0.0193726499,0.003526907506)
	(-0.02006963727,0.003779729603)	(-0.0412524956,0.005443720084)	(-0.01771393908,0.003325518407)	(-0.03493196135,0.004998619291)	(-0.02067227266,0.004297005089)
	(-0.04038808824,0.006106951462)	(-0.01637569824,0.002743583052)	(-0.03386662192,0.004252696279)	(0.06921693763,-0.00157701597)	(-0.01963217537,0.004501515605)
	(-0.03554021046,0.006358492734)	(-0.01914811292,0.004038939779)	(-0.03610296582,0.005842480568)	(0.08102564889,-0.001904634978)	(-0.022073358,0.005133906021)
	(-0.04134662032,0.00705960217)	(-0.02273067222,0.003553530735)	(-0.07692869882,-0.000876878788)	(-0.02091402046,0.003012350942)	(-0.07743378987,-0.00216475343)
	(0.03080502757,-0.002394874066)	(-0.02067354938,0.00317668309)	(-0.08142539861,-0.003307644172)	(-0.02456345669,0.004480868749)	(-0.08157666061,-0.0009041246474)
	(-0.02357376309,0.004260779779)	(-0.08388721715,-0.002281027379)	(-0.02309109741,0.004377647921)	(-0.0871468958,-0.003528720494)	(-0.0200897837,0.003293139575)
	(-0.08503758714,-0.004486089221)	(0.02506787764,-0.002117701966)	(-0.02349976529,0.00500560393)	(-0.091324274,-0.004537312425)	(-0.02045879815,0.003917812599)
	(-0.09045662059,-0.005703746153)	(-0.01721329017,0.00261706436)	(-0.08493647008,-0.005586274333)	(-0.01403668139,0.002019435888)	(-0.08506131504,-0.00652813183)
	(0.01589879796,-0.001351515568)	(-0.007040976693,0.0008337477197)	(-0.08192168074,-0.007214744683)	(0.007847847257,-0.0006487181942)	(-0.01325066864,0.002357439395)
	(-0.0919308443,-0.008066787312)	(-0.01727655582,0.003104244397)	(-0.09047606875,-0.00680020985)	(-0.01055597814,0.001368043778)	(-0.08338508768,-0.006949259206)
	(-0.003785812379,0.0005003112641)	(-0.08555810138,-0.008043516541)	(-0.00937034773,0.001545286532)	(-0.0907266605,-0.008433609453)	(-0.005674127561,0.00100978356)
	(-0.09345524568,-0.009305130393)	(-1.313018543e-033,-1.701159303e-033)	(-0.08914686086,-0.008724589072)	(3.30795245e-005,8.530190583e-006)	(7.896422968e-034,-1.974442793e-033)
	(-0.09686371841,-0.01016999021)	(-0.02235957817,0.004258248877)	(-0.04819256905,0.005748622708)	(-0.0215022573,0.003697461096)	(-0.04883291976,0.00493858988)
	(0.06230551574,-0.002560536929)	(-0.02462892029,0.005053196623)	(-0.05382280996,0.006385341282)	(-0.02289192704,0.004058321508)	(-0.05317095789,0.005084586381)
	(-0.02394873067,0.005563102661)	(-0.0467697986,0.007420234548)	(-0.02328148851,0.004911431697)	(-0.04769965579,0.006614640887)	(0.07356804237,-0.002772691763)
	(-0.02554957211,0.005783966418)	(-0.05319385523,0.007353249942)	(-0.02639302322,0.006605372814)	(-0.05245933408,0.008352843297)	(-0.02577513946,0.005428757186)
	(-0.05765313117,0.006504439238)	(-0.02409585827,0.004409370265)	(-0.05721329493,0.00515258085)	(0.05997935009,-0.003097250496)	(-0.02544537236,0.004894999023)
	(-0.06171358796,0.005245099268)	(-0.02690574581,0.00588638949)	(-0.0614423259,0.006642208209)	(-0.02798458949,0.006401742076)	(-0.06539871712,0.006719187639)
	(-0.02882322828,0.0068694126)	(-0.06895045091,0.006670955829)	(-0.02411449998,0.003960631154)	(-0.06852685919,0.002415937925)	(-0.02323290867,0.003626951408)
	(-0.06465161562,0.002695703404)	(0.04755519236,-0.002988099265)	(-0.02671656209,0.005307886748)	(-0.07063839109,0.004111823477)	(-0.02827756528,0.006350143434)
	(-0.07096867064,0.005542631808)	(-0.02658127104,0.005376509691)	(-0.06581326782,0.005249484353)	(0.05836516704,-0.003659469489)	(-0.02491633469,0.00442447876)
	(-0.06523982131,0.003918166704)	(-0.02442383183,0.004191147371)	(-0.07647233605,0.0004978567126)	(0.04036117928,-0.003058116825)	(-0.02765279027,0.005972677278)
	(-0.07994326255,0.002264963896)	(-0.02625610208,0.005233032056)	(-0.08114666146,0.0005896391578)	(-0.02467341558,0.004238843914)	(-0.07431898239,0.001299046526)
	(-0.02792648185,0.006091116141)	(-0.0780155727,0.003147158893)	(-0.02734103819,0.005663805757)	(-0.07391140149,0.003788706085)	(-0.02484976033,0.004289945994)
	(-0.07206652337,0.002066460529)	(0.04545322446,-0.003211834729)	(-0.01648407389,0.003892588608)	(-0.02803716205,0.00556027332)	(-3.792830377e-034,-2.87516318e-035)
	(5.139611646e-034,-4.161652277e-035)	(0.1149774062,0.0001031013624)	(-0.004869818052,0.001176868028)	(-0.007421889154,0.001725329019)	(-8.045903058e-034,-5.664571214e-035)
	(1.069179271e-033,-8.164665536e-035)	(-0.006902564103,0.001869917943)	(-0.009904265365,0.002551030274)	(-0.01467188784,0.003804682725)	(-0.0232512481,0.005277589564)
	(-0.01063973065,0.002492821473)	(-0.01703534834,0.003634104989)	(-0.01091488758,0.003005728963)	(-0.01616766636,0.004082103247)	(-0.009135364694,0.002243400268)
	(-0.01417052334,0.003227828162)	(0.1068397953,-0.0004251084538)	(-0.01346141818,0.00365739997)	(-0.02062218489,0.004995291131)	(-0.01670872334,0.00428821797)
	(-0.02720799413,0.005936564661)	(-0.01211709596,0.002716790189)	(-0.02011119989,0.00401546216)	(0.09560478821,-0.0007661395406)	(-0.02045630495,0.005521388426)
	(-0.03413687269,0.007415105931)	(-0.02706517823,0.0074527249)	(-0.05148433572,0.009323832564)	(-0.02741558551,0.008255687415)	(-0.04980765888,0.01020079878)
	(-0.0233934957,0.007021720912)	(-0.03877761278,0.008993319671)	(-0.02020286665,0.005032930271)	(-0.03513918328,0.006931074548)	(0.09241346397,-0.002033914789)
	(-0.02594429433,0.007572701489)	(-0.04609248212,0.009582859248)	(-0.02466637069,0.006316785034)	(-0.04598305392,0.008286203608)	(0.08610242508,-0.003060434135)
	(-0.02405556317,0.006940972949)	(-0.04124349724,0.008952944548)	(-0.02260924832,0.005702817159)	(-0.04073171544,0.007683899931)	(-4.259244988e-034,-3.078696636e-035)
	(5.507635025e-034,-4.306390244e-035)	(0.1270335542,8.515858137e-005)	(-9.016452879e-034,-6.543392216e-035)	(1.139812477e-033,-9.182627949e-035)	(-0.00690512027,0.002173128842)
	(-0.009285943249,0.002786738087)	(-0.006918195911,0.001991626532)	(-0.00968135517,0.002658279715)	(-1.074153013e-033,-8.0354709e-035)	(1.38207381e-033,-1.172805253e-034)
