18332	
	(-0.004146049193,0.001394082182)	(-0.001269813833,0.0003918760029)	(-0.003583342412,0.001179122961)	(-0.001100858843,0.000360862876)	(-0.004059738686,0.001423233389)
	(-0.0009001234516,0.0002996950299)	(-0.003720686342,0.00131467231)	(0.005052826039,-0.0008477687606)	(-0.001244386854,0.0004111681231)	(-0.004735663179,0.001693815681)
	(-0.001063725023,0.0003562467421)	(-0.004503203655,0.001622697963)	(-0.001534689364,0.0004854313453)	(-0.004640960384,0.001594905089)	(-0.001680795468,0.0005371867077)
	(-0.0052310889,0.001836991302)	(-0.001478725134,0.0004809500496)	(-0.005058949564,0.001796613863)	(-0.001333191881,0.0004297149503)	(-0.004429543821,0.001540794108)
	(0.006206844606,-0.0009952027238)	(-0.001203932861,0.000405433113)	(-0.005219087274,0.001916313422)	(0.00477341162,-0.0007924315606)	(-0.001121631175,0.0003824258158)
	(-0.005442439234,0.002028164239)	(-0.001392201669,0.0004630144145)	(-0.00541862273,0.001976188693)	(-0.001449499704,0.0004870226972)	(-0.005977312089,0.002225499246)
	(-0.00134536495,0.0004575711891)	(-0.006165778161,0.00232864627)	(-0.001338291075,0.0004594073947)	(-0.006657214148,0.002562113036)	(-0.001142349941,0.0003963059176)
	(-0.006634790857,0.00257378347)	(-0.001035544714,0.0003567335547)	(-0.005688818861,0.002149933218)	(0.003785234895,-0.0006401738879)	(-7.698614108e-035,8.041896719e-036)
	(9.092104487e-035,-1.658384606e-035)	(-0.0004210955728,0.0001118134838)	(-0.0008707104301,0.0002353414912)	(-0.0005054402311,0.000127384396)	(-0.0009486295461,0.0002442534714)
	(-3.713474594e-035,3.853489776e-036)	(4.489262466e-035,-8.635727242e-036)	(0.0101825108,-0.001397908335)	(-0.0006287561089,0.0001626323373)	(-0.001229527492,0.0003269975015)
	(-0.001187438617,0.0003437499955)	(-0.002825041138,0.0008634696106)	(-0.001217100148,0.0003344140392)	(-0.002583676717,0.0007487830191)	(-0.0007863694612,0.0002271859873)
	(-0.001901377348,0.0005694592878)	(0.008467130763,-0.00126127599)	(-0.0009805520504,0.0002622175699)	(-0.002004844767,0.0005593877676)	(-0.0007852096847,0.0002210983974)
